edital;tipoObjeto;modalidade;rito;finalidade;processo;centralDeCompras;dataDeAbertura;situacaoOferta;numeroLote;situacaoLote;numeroItem;itemDescricao;quantidade;unidadeMedida;valorUnitario;valorTotal;arrematante;arrematanteCNPJ;url;urlDocumentos;urlPropostas;dataHomologacao
1282/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0110867-2;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;30/11/2020 10:00;Homologada;1;Adjudicado;1;REAGENTE - ÁLCOOL ETÍLICO P.A. 99,8% 01 LITRO;200;fr;18;3600;OBAH PRODUTOS E SERVIÇOS PARA SEGURANÇA E ENSINO LTDA - EPP;9,13407E+12;http://www.compras.rs.gov.br/editais/1282_2020/266530;http://www.compras.rs.gov.br/editais/1282_2020/266530#documentsTab;http://www.compras.rs.gov.br/editais/1282_2020/lote/813237#proposalsTab;10/12/2020
9125/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0022828-7;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;25/11/2020 09:08;Homologada;1;Adjudicado;1;LOTE 01 - ATRACÚRIO 10mg/ml 5ml;2200;am;31;68200;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9125_2020/266432;http://www.compras.rs.gov.br/editais/9125_2020/266432#documentsTab;http://www.compras.rs.gov.br/editais/9125_2020/lote/812963#proposalsTab;26/11/2020
9125/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0022828-7;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;25/11/2020 09:08;Homologada;2;Adjudicado;1;LOTE 02 - DEXTROCETAMINA 100mg/2ml;3500;am;13.76;48160;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9125_2020/266432;http://www.compras.rs.gov.br/editais/9125_2020/266432#documentsTab;http://www.compras.rs.gov.br/editais/9125_2020/lote/812966#proposalsTab;26/11/2020
9125/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0022828-7;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;25/11/2020 09:08;Homologada;3;Não-adjudicado;1;LOTE 03 - MIDAZOLAM 5mg/ml 10ml;2500;am;;;;;http://www.compras.rs.gov.br/editais/9125_2020/266432;http://www.compras.rs.gov.br/editais/9125_2020/266432#documentsTab;http://www.compras.rs.gov.br/editais/9125_2020/lote/812968#proposalsTab;26/11/2020
0723/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0084985-7;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;13/11/2020 09:30;Homologada;1;Adjudicado;1;EQUIPAMENTO RT PCR EM TEMPO REAL;3;un;130000;390000;DIAMED LATINO AMERICA S.A.;7,10159E+13;http://www.compras.rs.gov.br/editais/0723_2020/265624;http://www.compras.rs.gov.br/editais/0723_2020/265624#documentsTab;http://www.compras.rs.gov.br/editais/0723_2020/lote/809061#proposalsTab;23/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:03;Homologada;1;Adjudicado;1;LOTE 01 - Atracúrio 10mg/ml 5ml;1500;am;31;46500;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810505#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:04;Homologada;2;Adjudicado;1;LOTE 02 - Azitromicina 500mg injetável;100;fa;92;9200;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810506#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:04;Homologada;3;Adjudicado;1;LOTE 03 - Cefuroxima 750mg injetável;400;fa;33.6;13440;T C A FARMA COMÉRCIO LTDA;7,36796E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810507#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:04;Homologada;4;Adjudicado;1;LOTE 04 - Dexmedetomidina 100mcg/ml 2ml;50;am;37.56;1878;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810508#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:04;Homologada;5;Adjudicado;1;LOTE 05 - Dextrocetamina 100mg/2ml;1000;am;13.76;13760;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810509#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:05;Homologada;6;Adjudicado;1;LOTE 06 - Fentanila 50mcg/ml 10ml;1000;fa;9.01;9010;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810510#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;12/11/2020 09:05;Homologada;7;Deserto (encerrado);1;LOTE 07 - Glicose 50% ampola 10ml;5;cx;;;;;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810511#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:06;Homologada;8;Adjudicado;1;LOTE 08 - Midazolam 5mg/ml 10ml;2000;am;15.62;31240;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810512#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:06;Homologada;9;Adjudicado;1;LOTE 09 - Midazolam 5mg/ml 3ml;300;am;7.7;2310;CRISTALIA PRODUTOS QUIMICOS FARMACEUTICOS LTDA;4,47347E+13;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810513#proposalsTab;13/11/2020
9123/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/1203-0021631-9;BRIGADA MILITAR - DEPARTAMENTO DE SAÚDE;11/11/2020 13:07;Homologada;10;Adjudicado;1;LOTE 10 - Norepinefrina;1000;am;8.01;8010;STOCK MED PRODUTOS MÉDICO HOSPITALARES LTDA;6,10601E+12;http://www.compras.rs.gov.br/editais/9123_2020/265862;http://www.compras.rs.gov.br/editais/9123_2020/265862#documentsTab;http://www.compras.rs.gov.br/editais/9123_2020/lote/810514#proposalsTab;13/11/2020
1092/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0000424-8;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;10/11/2020 10:33;Depende dos lotes;1;Não-adjudicado;1;LUVA HOSPITALAR - DESCARTÁVEL LÁTEX P NÃO ESTÉRIL PÓ FINÍSSIMO BIOABSORVÍVEL;200;cx;;;;;http://www.compras.rs.gov.br/editais/1092_2020/265492;http://www.compras.rs.gov.br/editais/1092_2020/265492#documentsTab;http://www.compras.rs.gov.br/editais/1092_2020/lote/808581#proposalsTab;
1092/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0000424-8;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;10/11/2020 10:58;Depende dos lotes;2;Não-adjudicado;1;LUVA HOSPITALAR - DESCARTÁVEL LÁTEX G NÃO ESTÉRIL PÓ FINÍSSIMO BIOABSORVÍVEL;400;cx;;;;;http://www.compras.rs.gov.br/editais/1092_2020/265492;http://www.compras.rs.gov.br/editais/1092_2020/265492#documentsTab;http://www.compras.rs.gov.br/editais/1092_2020/lote/808582#proposalsTab;
0674/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0073358-1;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;06/11/2020 09:30;Homologada;1;Adjudicado;1;CAMA HOSPITALAR - FOWLER ELÉTRICA 2.225,00 MM 1060,00 MM MÍNIMO 200KG;230;un;8880;2042400;MEDI-SAUDE PRODUTOS MEDICO HOSPITALARES LTDA-ME;2,56357E+12;http://www.compras.rs.gov.br/editais/0674_2020/265207;http://www.compras.rs.gov.br/editais/0674_2020/265207#documentsTab;http://www.compras.rs.gov.br/editais/0674_2020/lote/806595#proposalsTab;23/11/2020
1062/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0000424-8;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;28/10/2020 14:44;Depende dos lotes;1;Não-adjudicado;1;LUVA HOSPITALAR - DESCARTÁVEL LÁTEX P NÃO ESTÉRIL PÓ FINÍSSIMO BIOABSORVÍVEL;200;cx;;;;;http://www.compras.rs.gov.br/editais/1062_2020/265254;http://www.compras.rs.gov.br/editais/1062_2020/265254#documentsTab;http://www.compras.rs.gov.br/editais/1062_2020/lote/806805#proposalsTab;
1062/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0000424-8;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;28/10/2020 15:05;Depende dos lotes;2;Não-adjudicado;1;LUVA HOSPITALAR - DESCARTÁVEL LÁTEX G NÃO ESTÉRIL PÓ FINÍSSIMO BIOABSORVÍVEL;400;cx;;;;;http://www.compras.rs.gov.br/editais/1062_2020/265254;http://www.compras.rs.gov.br/editais/1062_2020/265254#documentsTab;http://www.compras.rs.gov.br/editais/1062_2020/lote/806806#proposalsTab;
1061/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0001106-6;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;28/10/2020 11:03;Homologada;1;Adjudicado;1;MASCARA RESPIRADOR SEMIFACIAL DESCARTÁVEL - N95/PFF2 - TAMANHO: ÚNICO;6000;un;4.08;24480;Mastersul Equipamentos de Segurança Ltda EPP;1,82749E+13;http://www.compras.rs.gov.br/editais/1061_2020/265251;http://www.compras.rs.gov.br/editais/1061_2020/265251#documentsTab;http://www.compras.rs.gov.br/editais/1061_2020/lote/806780#proposalsTab;18/11/2020
1061/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0001106-6;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;28/10/2020 11:37;Homologada;2;Adjudicado;1;MÁSCARA - DESCARTÁVEL COR BRANCA CLIP NASAL SEM FILTRO COM ELASTICO;600;cx;19.5;11700;PETINELI DISTRIBUIDORA DE MATERIAL MEDICO HOSPITALAR LTDA ME;7,49133E+13;http://www.compras.rs.gov.br/editais/1061_2020/265251;http://www.compras.rs.gov.br/editais/1061_2020/265251#documentsTab;http://www.compras.rs.gov.br/editais/1061_2020/lote/806781#proposalsTab;18/11/2020
9004/2020;Serviços;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2441-0009065-0;Instituto de Assistência à Saúde dos Servidores Públicos do Rio Grande do Sul;23/10/2020 10:01;Depende dos lotes;1;Encerrado;1;Anteparos de proteção em acrílico;12;un;;;;;http://www.compras.rs.gov.br/editais/9004_2020/265085;http://www.compras.rs.gov.br/editais/9004_2020/265085#documentsTab;http://www.compras.rs.gov.br/editais/9004_2020/lote/805909#proposalsTab;
0661/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0075380-9;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;23/10/2020 09:30;Homologada;1;Adjudicado;1;FREEZER - TIPO: CIENTÍFICO ULTRA TEMPERATURA: -50ºC/-86ºC;2;un;38600;77200;luis roberto boscariol me;3,79635E+12;http://www.compras.rs.gov.br/editais/0661_2020/264730;http://www.compras.rs.gov.br/editais/0661_2020/264730#documentsTab;http://www.compras.rs.gov.br/editais/0661_2020/lote/803699#proposalsTab;03/11/2020
0998/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0500-0002898-9;SECRETARIA DO MEIO AMBIENTE E INFRAESTRUTURA;20/10/2020 09:30;Homologada;1;Adjudicado;1;MÁSCARA DE PROTEÇÃO USO NÃO PROFISSIONAL - 100% ALGODÃO - ADULTO;250;un;1.96;490;ALELISE CONFECÇOES EIRELI LTDA.;1,30456E+13;http://www.compras.rs.gov.br/editais/0998_2020/264934;http://www.compras.rs.gov.br/editais/0998_2020/264934#documentsTab;http://www.compras.rs.gov.br/editais/0998_2020/lote/804778#proposalsTab;03/11/2020
0939/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0079332-0;SECRETARIA DA SAÚDE DO ESTADO DO RIO GRANDE DO SUL;08/10/2020 10:00;Homologada;1;Não-adjudicado;1;TENDA - GAZEBO COMPRIMENTO MÍNIMO: 3,00M 3,00M;2;un;;;;;http://www.compras.rs.gov.br/editais/0939_2020/264603;http://www.compras.rs.gov.br/editais/0939_2020/264603#documentsTab;http://www.compras.rs.gov.br/editais/0939_2020/lote/802675#proposalsTab;22/10/2020
0908/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0500-0002838-5;SECRETARIA DO MEIO AMBIENTE E INFRAESTRUTURA;05/10/2020 09:30;Homologada;1;Adjudicado;1;LIXEIRA - COMUM 01 CESTO POLIETILENO OU POLIPROPILENO BRANCA CILÍNDRICO - 50L;41;un;170;6970;MATEFI COMERCIAL LTDA;1,04455E+13;http://www.compras.rs.gov.br/editais/0908_2020/264466;http://www.compras.rs.gov.br/editais/0908_2020/264466#documentsTab;http://www.compras.rs.gov.br/editais/0908_2020/lote/801587#proposalsTab;06/10/2020
0908/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/0500-0002838-5;SECRETARIA DO MEIO AMBIENTE E INFRAESTRUTURA;05/10/2020 09:30;Homologada;1;Adjudicado;2;LIXEIRA - POLIPROPILENO - COMUM 01 CESTO - BRANCA - RETANGULAR - 15 LITROS;122;un;49.1;5990.2;MATEFI COMERCIAL LTDA;1,04455E+13;http://www.compras.rs.gov.br/editais/0908_2020/264466;http://www.compras.rs.gov.br/editais/0908_2020/264466#documentsTab;http://www.compras.rs.gov.br/editais/0908_2020/lote/801587#proposalsTab;06/10/2020
0631/2020;Bens;Pregão Eletrônico (13.191/09);COVID-19 (Lei 13.979/2020);COVID-19;20/2000-0078030-0;CELIC - SUBSECRETARIA DA ADMINISTRAÇÃO CENTRAL DE LICITAÇÕES;02/10/2020 09:30;Homologada;1;Adjudicado;1;EXTRACAO DNA/RNA VIRAL E PATOGENOS -;60000;ts;24;1440000;LOCCUS DO BRASIL LTDA;5,09472E+12;http://www.compras.rs.gov.br/editais/0631_2020/264310;http://www.compras.rs.gov.br/editais/0631_2020/264310#documentsTab;http://www.compras.rs.gov.br/editais/0631_2020/lote/800879#proposalsTab;21/10/2020
0898/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0000424-8;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;01/10/2020 10:18;Homologada;1;Não-adjudicado;1;LUVA HOSPITALAR - DESCARTÁVEL LÁTEX P NÃO ESTÉRIL PÓ FINÍSSIMO BIOABSORVÍVEL;200;cx;;;;;http://www.compras.rs.gov.br/editais/0898_2020/264356;http://www.compras.rs.gov.br/editais/0898_2020/264356#documentsTab;http://www.compras.rs.gov.br/editais/0898_2020/lote/801100#proposalsTab;21/10/2020
0898/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0000424-8;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;01/10/2020 10:33;Homologada;2;Adjudicado;1;LUVA HOSPITALAR - DESCARTÁVEL LÁTEX M NÃO ESTÉRIL PÓ FINÍSSIMO BIOABSORVÍVEL;400;cx;49.5;19800;D Z L DISTRIB ZANATA LTDA;88664000154;http://www.compras.rs.gov.br/editais/0898_2020/264356;http://www.compras.rs.gov.br/editais/0898_2020/264356#documentsTab;http://www.compras.rs.gov.br/editais/0898_2020/lote/801101#proposalsTab;21/10/2020
0898/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2158-0000424-8;FUNDAÇÃO DE ATENDIMENTO SÓCIO-EDUCATIVO DO RS;01/10/2020 11:00;Homologada;3;Não-adjudicado;1;LUVA HOSPITALAR - DESCARTÁVEL LÁTEX G NÃO ESTÉRIL PÓ FINÍSSIMO BIOABSORVÍVEL;400;cx;;;;;http://www.compras.rs.gov.br/editais/0898_2020/264356;http://www.compras.rs.gov.br/editais/0898_2020/264356#documentsTab;http://www.compras.rs.gov.br/editais/0898_2020/lote/801102#proposalsTab;21/10/2020
0901/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2148-0000706-0;FUNDAÇÃO DE PROTEÇÃO ESPECIAL DO RS;30/09/2020 15:21;Homologada;1;Adjudicado;1;MASCARA RESPIRADOR SEMIFACIAL DESCARTÁVEL - N95/PFF2 - TAMANHO: ÚNICO;2000;un;1.91;3820;NEW LIFE REPRESENTAÇÃO COMERCIAL DE PRODUTOS, EQUIPAMENTOS E MATERIAIS EIRELI;3,72556E+13;http://www.compras.rs.gov.br/editais/0901_2020/264404;http://www.compras.rs.gov.br/editais/0901_2020/264404#documentsTab;http://www.compras.rs.gov.br/editais/0901_2020/lote/801302#proposalsTab;12/11/2020
0901/2020;Bens;Dispensa com disputa;COVID-19 (Lei 13.979/2020);COVID-19;20/2148-0000706-0;FUNDAÇÃO DE PROTEÇÃO ESPECIAL DO RS;30/09/2020 15:21;Homologada;2;Adjudicado;1;MÁSCARA - DESCARTÁVEL COR BRANCA CLIP NASAL SEM FILTRO COM ELASTICO;600;cx;23.11;13866;EREGOLD COMERCIO DISTRIBUICAO E SERVICOS LTDA;3,55811E+13;http://www.compras.rs.gov.br/editais/0901_2020/264404;http://www.compras.rs.gov.br/editais/0901_2020/264404#documentsTab;http://www.compras.rs.gov.br/editais/0901_2020/lote/801303#proposalsTab;12/11/2020
